,商品标题,商品价格,商品地址,出厂商,门店地址
33,健身球85cm 瑜伽球 体操球 塑身球 大龙球 瑜伽按摩球 普拉提球,20.00,https://www.yiwugo.com/product/detail/923836589.html?q=E5 8F 91 E5 85 89 E7 8E A,南通三星健身器材,义乌国际商贸城三区65门2楼2街
34,【厂家直销】瑜珈按摩球85cm加厚防爆按摩球,16.50,https://www.yiwugo.com/product/detail/926692714.html?q=E5 8F 91 E5 85 89 E7 8E A,南通三星健身器材,义乌国际商贸城三区65门2楼2街
35,厂家直销pvc85cm瑜伽球健身按摩球大龙感统玩具球刺球瑜伽刺球,14.00,https://www.yiwugo.com/product/detail/923593453.html?q=E5 8F 91 E5 85 89 E7 8E A,南通三星健身器材,义乌国际商贸城三区65门2楼2街
36,85克工业乳胶手套好三羊乳胶手套,2.50,https://www.yiwugo.com/product/detail/929225540.html?q=E5 8F 91 E5 85 89 E7 8E A,宏康劳保手套贸易公司,义乌国际商贸城二区23门2楼中街
37,joby 香皂 洗澡香皂 高级配方皂角 洗衣皂85g,0.95,https://www.yiwugo.com/product/detail/924537836.html?q=E5 8F 91 E5 85 89 E7 8E A,江苏敖广日化集团股份有限公司,义乌市下骆宅九如堂村106A号二楼
38,STARP液晶电视机4K高清智能超大显示屏85英寸,价格联系商家,https://www.yiwugo.com/product/detail/929187505.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌星普电子科技,义乌国际商贸城二区43门3楼中街
39,义乌小玩具精品环保ABS材料直径6厘米 智力魔方手感超好 85,3.20,https://www.yiwugo.com/product/detail/930963926.html?q=E5 8F 91 E5 85 89 E7 8E A,妍妍玩具,浙江省金华义乌市青口工业区209号
40,85键盘USB软键盘 电脑硅胶键盘 防水硅胶键盘 静音键盘 可折叠键盘,价格联系商家,https://www.yiwugo.com/product/detail/923165148.html?q=E5 8F 91 E5 85 89 E7 8E A,伟旭电子,义乌国际商贸城二区38门3楼12街
41,纯铜电机56寸85W 3档调速吊扇,90.00,https://www.yiwugo.com/product/detail/926154879.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌驰超贸易有限公司,义乌国际商贸城二区29门3楼1街
42,18丝 23*2.5cm 加厚360g水晶超柔啪啪圈 ，0.85元,0.85,https://www.yiwugo.com/product/detail/931013104.html?q=E5 8F 91 E5 85 89 E7 8E A,厚洪玩具,义乌国际商贸城一区8门1楼11街
43,85cm实心不锈钢衣架,价格联系商家,https://www.yiwugo.com/product/detail/925457428.html?q=E5 8F 91 E5 85 89 E7 8E A,虞超日用品,义乌国际商贸城四区89门2楼8街
44,厂家直销柔丝棉床上用品布料三件套六件套85,价格联系商家,https://www.yiwugo.com/product/detail/928501681.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌智缘电子商务商行,义乌国际商贸城五区109门3楼3街
45,大容量海钓箱保温箱渔具钓鱼工具48升66升85升带轮子冷藏箱,价格联系商家,https://www.yiwugo.com/product/detail/930987220.html?q=E5 8F 91 E5 85 89 E7 8E A,胖哥路亚渔具钓具,义乌国际商贸城三区60门4楼6街
46,教学仪器厂家意涵（85cm）人体骨骼附神经模型教学医学展示演示,180.00,https://www.yiwugo.com/product/detail/930048684.html?q=E5 8F 91 E5 85 89 E7 8E A,江苏意涵教育科技有限公司,义乌国际商贸城五区94门5楼8街
47,教学仪器模型意涵人体肌肉模型85cm全身肌肉形态构造教学设备,198.00,https://www.yiwugo.com/product/detail/930044127.html?q=E5 8F 91 E5 85 89 E7 8E A,江苏意涵教育科技有限公司,义乌国际商贸城五区94门5楼8街
48,教学器材意涵人体骨骼85CM可拆卸医学生物教学骷髅骨头实验室仪器,109.00,https://www.yiwugo.com/product/detail/930038516.html?q=E5 8F 91 E5 85 89 E7 8E A,江苏意涵教育科技有限公司,义乌国际商贸城五区94门5楼8街
49,【浙江金珠】1812 85*60*25cm流延膜PE拼接整理袋,价格联系商家,https://www.yiwugo.com/product/detail/930395181.html?q=E5 8F 91 E5 85 89 E7 8E A,金珠日用品,义乌国际商贸城四区连接体门2楼
