id,shop_title,shop_price,shop_address,shop_factory,shop_store,shop_startingBatch,shop_availableQuantity,shop_ExpressFee,shop_deliveryTime,shop_articleNumber
44,小双头荧光笔糖果色荧光笔彩色记号笔卡通创意新款85-5,0.63,https://www.yiwugo.com/product/detail/928888850.html?q=E5 8F 91 E5 85 89 E7 8E A,紫燚文具(白板笔，荧光笔，记号笔，马克笔，灯板笔，中性笔，圆珠笔，闪光笔）,义乌国际商贸城三区58门1楼11街,200,159956,8,48,C16
45,正品加厚防爆健身球瑜伽球55 65 75 85CM瘦身球,20.00,https://www.yiwugo.com/product/detail/923260867.html?q=E5 8F 91 E5 85 89 E7 8E A,双才体育用品有限公司,义乌国际商贸城三区55门4楼2街,276,941067,10,24,C10
46,【85-140斤】新款无缝中腰女士内裤蕾丝边纯棉裆部提臀女三角裤,4.75,https://www.yiwugo.com/product/detail/932824746.html?q=E5 8F 91 E5 85 
47,【85-130斤】内衣性感螺纹冰丝蕾丝抹胸裹胸免穿运动打底文胸,11.24,https://www.yiwugo.com/product/detail/932832006.html?q=E5 8F 91 E5 85 89 E7 8E A,安妮袜业,浙江省金华市义乌市福田街道义乌国际商贸城(四区)义乌国际商贸城四区,13,176012,8,24,P25
48,正品上海硫磺皂85g 手续齐全无忧销售 江浙沪皖整箱包邮,1.03,https://www.yiwugo.com/product/detail/932256007.html?q=E5 8F 91 E5 85 89 E7 8E A,爱妃公司,浙江省金华市义乌市义亭镇湖南,21,821963,8,72,P21
49,上海硫磺皂85g 控油清洁男女洗手脸沐浴肥皂正品上海香皂批发代发,1.03,https://www.yiwugo.com/product/detail/932255981.html?q=E5 8F 91 E5 85 89 E7 8E A,爱妃公司,浙江省金华市义乌市义亭镇湖南,126,460660,8,72,O15
50,TYPE 650 Bossil RTV 耐热耐寒高温汽车发动机变速箱密封胶 85g,0.01,https://www.yiwugo.com/product/detail/929517724.html?q=E5 8F 91 E5 85 89 E7 8E A,台州阿凡达胶业源头厂家,义乌国际商贸城二区44门2楼7街,455,795343,5,48,O19
51,Teson Grey RTV Silicone Gasket Maker For Auto 35g 85g,0.01,https://www.yiwugo.com/product/detail/929458521.html?q=E5 8F 91 E5 85 89 E7 8E A,台州阿凡达胶业源头厂家,义乌国际商贸城二区44门2楼7街,235,252156,5,72,B28
52,3+3灰色汽车密封胶免垫片胶 耐高温密封胶 硅酮胶 85g/支,0.01,https://www.yiwugo.com/product/detail/929189668.html?q=E5 8F 91 E5 85 89 E7 8E A,台州阿凡达胶业源头厂家,义乌国际商贸城二区44门2楼7街,190,793723,8,24,F21
53,DEYI德益汽车密封胶 吸卡85g汽车免垫胶 DEYI RTV GASKET MARKER,0.01,https://www.yiwugo.com/product/detail/931180791.html?q=E5 8F 91 E5 85 89 E7 8E A,台州阿凡达胶业源头厂家,义乌国际商贸城二区44门2楼7街,507,712619,5,72,O30
54,TESON耐高温灰色汽车密封胶 TESON汽车发动机密封免垫片85g,0.01,https://www.yiwugo.com/product/detail/929457637.html?q=E5 8F 91 E5 85 89 E7 8E A,台州阿凡达胶业源头厂家,义乌国际商贸城二区44门2楼7街,533,558092,10,24,O13
59,AMAR 红色灰色蓝色黑色密封胶 Amar 缸垫胶免垫胶 液体垫片胶85g,0.01,https://www.yiwugo.com/product/detail/932500091.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市劲功胶粘剂有限公司,义乌国际商贸城二区41门2楼5街,89,796747,5,48,P16
60,T6LED灯管内置电源AC85-265V 0.6m,18.00,https://www.yiwugo.com/product/detail/928796359.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市旮旯灯具有限公司,义乌国际商贸城二区37门4楼,566,564449,10,72,B15
61,恒流AC85-265V高富帅圆柱形E27应急灯地摊应急灯泡,10.80,https://www.yiwugo.com/product/detail/928666903.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市旮旯灯具有限公司,义乌国际商贸城二区37门4楼,64,553821,8,48,P17
62,T6LED灯管内置电源AC85-265V1.5米,30.00,https://www.yiwugo.com/product/detail/928797146.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市旮旯灯具有限公司,义乌国际商贸城二区37门4楼,164,593767,5,72,C15
63,T6LED灯管内置电源AC85-265V0.9米,20.50,https://www.yiwugo.com/product/detail/928796996.html?q=E5 8F 91 E5 85 89 E7 8E 
64,LED欧式射灯 开孔60-85mm 客厅吊顶简欧复古美式筒灯,15.00,https://www.yiwugo.com/product/detail/927740655.html?q=E5 8F 91 E5 85 89 E7 
65,hd-0203 85mm彩色按铃 手按铃铛 餐厅服务呼叫桌铃传菜铃金属按铃,4.10,https://www.yiwugo.com/product/detail/929107567.html?q=E5 8F 91 E5 85 89 E7 8E A,MOTARRO文具（全球招商代理加盟),浙江省金华市义乌市廿三里街道金麟北路神力创业园,267,974587,10,48,P29
66,hd-0300 85mm印花铃铛 金属铃铛 餐厅服务铃 按铃 佛教铃,4.25,https://www.yiwugo.com/product/detail/929107576.html?q=E5 8F 91 E5 85 89 E7 8E A,MOTARRO文具（全球招商代理加盟),浙江省金华市义乌市廿三里街道金麟北路神力创业园,561,68901,5,24,P27
67,2018外贸香水持久香调OEM厂家直销85ML,5.00,https://www.yiwugo.com/product/detail/929413729.html?q=E5 8F 91 E5 85 89 E7 8E 
68,电缆电线分线接线盒85*85*80D厂家直销外贸出口配电箱,0.50,https://www.yiwugo.com/product/detail/929057454.html?q=E5 8F 91 E5 85 89 E7 
69,达豪A1#英文领先海外版粘鼠板Mouse glue trap,3.00,https://www.yiwugo.com/product/detail/928418037.html?q=E5 8F 91 E5 85 89 E7 8E 
70,跨境欧码有钢圈二排扣美少女杯文胸 A杯,7.20,https://www.yiwugo.com/product/detail/931710576.html?q=E5 8F 91 E5 85 89 E7 8E A,争艳内衣硅胶文胸外贸文胸提臀裤商行(中国梦授权),义乌国际商贸城四区88门4楼18街,275,962930,10,24,O18
71,达豪粘鼠板海外版A1#,3.50,https://www.yiwugo.com/product/detail/928414859.html?q=E5 8F 91 E5 85 89 E7 8E A,浩东(绿巢)日化用品厂,义乌国际商贸城二区39门2楼6街,199,980099,10,24,B22
72,出口绿巢新款粘鼠板 粘鼠胶 老鼠板 老鼠胶 老鼠贴A1#海外版,1.50,https://www.yiwugo.com/product/detail/930648994.html?q=E5 8F 91 E5 85 89 
73,英文抱枕A字抱枕字母抱枕发光抱枕方形抱枕毛绒玩具,9.80,https://www.yiwugo.com/product/detail/928626722.html?q=E5 8F 91 E5 85 89 E7 8E A,"艾菲毛绒玩具,抱枕熊公仔娃娃礼品新奇玩具",义乌国际商贸城一区8门1楼10街,113,638053,10,48,A27
74,黑桃A电蚊拍灭蚊灯家用吸入式驱蚊器USB光触媒电蚊拍室内捕蚊器厂,10.00,https://www.yiwugo.com/product/detail/933032544.html?q=E5 8F 91 E5 85 89 E7 8E A,爱妃公司,浙江省金华市义乌市义亭镇湖南,137,162527,5,72,A18
75,A类纯棉大豆纤维被子母被冬被春秋夏凉被芯单双人空调被四季通用,151.20,https://www.yiwugo.com/product/detail/932288553.html?q=E5 8F 91 E5 85 89 E7 8E A,爱妃公司,浙江省金华市义乌市义亭镇湖南,228,301443,8,48,E26
76,婴儿级 A类全棉大豆纤维被子四季空调被芯薄双人冬被春秋被夏凉被,138.00,https://www.yiwugo.com/product/detail/932287926.html?q=E5 8F 91 E5 
77,本色不染夏被 亲肤A类婴儿级纯棉大豆纤维被全棉婴童春秋被空调被,162.00,https://www.yiwugo.com/product/detail/932288600.html?q=E5 8F 91 E5 85 89 E7 8E A,爱妃公司,浙江省金华市义乌市义亭镇湖南,510,73743,8,24,P24
78,简约大豆蛋白纤维夏被 纯棉本色A类亲肤春秋被 全棉空调被批发,109.20,https://www.yiwugo.com/product/detail/932288613.html?q=E5 8F 91 E5 85 89 E7 8E A,爱妃公司,浙江省金华市义乌市义亭镇湖南,19,287671,8,48,P27
79,嘿米熊HMX-A720线圈本 A7/80P/加油鸭 1盒*20本,32.60,https://www.yiwugo.com/product/detail/933509400.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市热脉文体用品有限公司,义乌国际商贸城三区64门4楼3街,293,179477,8,72,B29
81,梯形方盘镀银 （边花A)（描金）,113.00,https://www.yiwugo.com/product/detail/928265012.html?q=E5 8F 91 E5 85 89 E7 8E A,广东互发不锈钢制品厂,义乌国际商贸城二区29门4楼,366,174880,5,24,O24
82,10盘压槽A镀铬（夜光）三件套盘 锌合金手柄,129.00,https://www.yiwugo.com/product/detail/928266505.html?q=E5 8F 91 E5 85 89 E7 8E A,广东互发不锈钢制品厂,义乌国际商贸城二区29门4楼,85,415111,10,72,E12
83,10盘压槽A镀黑镍（闪金）三件套盘 锌合金手柄,119.00,https://www.yiwugo.com/product/detail/928266489.html?q=E5 8F 91 E5 85 89 E7 8E 
84,供应不锈钢一米线排队引导A4广告插牌横向竖向LG-08,50.00,https://www.yiwugo.com/product/detail/931168617.html?q=E5 8F 91 E5 85 89 E7 8E 
85,工厂供应批发定做5米加长壁挂式伸缩器 挂墙式伸缩器 LG-11A,60.00,https://www.yiwugo.com/product/detail/931168636.html?q=E5 8F 91 E5 85 
86,嘿米熊HMX-A728线圈本 A7/80P/森林奇镜 1盒*20本,32.60,https://www.yiwugo.com/product/detail/933507810.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市热脉文体用品有限公司,义乌国际商贸城三区64门4楼3街,559,865825,5,72,B23
87,独角鹿DJ21-A552-1665X胶套本 32K/52P/日记/奶茶手记 1包*10本,27.30,https://www.yiwugo.com/product/detail/933507665.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市热脉文体用品有限公司,义乌国际商贸城三区64门4楼3街,221,368221,10,24,A12
88,独角鹿DJ21-A552-1663X胶套本 32K/52P/日记/记忆 1包*10本,27.30,https://www.yiwugo.com/product/detail/933506747.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市热脉文体用品有限公司,义乌国际商贸城三区64门4楼3街,450,587880,5,72,O24
89,厂家直销神强胶水指甲胶A2000 2g胶水批发,0.23,https://www.yiwugo.com/product/detail/925170853.html?q=E5 8F 91 E5 85 89 E7 8E A,神强粘合剂,义乌国际商贸城二区42门2楼11街,366,182365,8,48,B25
90,跨境厂家直销电推剪 科美KM-809A碳钢刀头理发剪 充电式 电推剪,55.00,https://www.yiwugo.com/product/detail/933415628.html?q=E5 8F 91 E5 
91,博文881记事本皮面笔记本25K记事本创意笔记本 皮面A5日记本,9.90,https://www.yiwugo.com/product/detail/929615266.html?q=E5 8F 91 E5 85 89 
92,厂家直销创意卡片水壶A5纸张水杯便携式学生塑料随手水杯,5.80,https://www.yiwugo.com/product/detail/928617112.html?q=E5 8F 91 E5 85 89 E7 
93,纸张水杯子创意A5水瓶运动水壶带盖扁平便携塑料广告杯定制,12.00,https://www.yiwugo.com/product/detail/928310294.html?q=E5 8F 91 E5 85 89 E7 8E A,美辰杯业,义乌国际商贸城四区75门2楼1街,15,792381,10,48,A17
94,厂家直销创意笔记本塑料杯A5磨砂卡片水壶便携随手杯学生,7.30,https://www.yiwugo.com/product/detail/928617103.html?q=E5 8F 91 E5 85 89 E7 8E A,美辰杯业,义乌国际商贸城四区75门2楼1街,455,951228,5,48,P18
95,批发达豪粘鼠板老鼠贴捕鼠器A1#小金牛型老鼠板30克胶水,4.00,https://www.yiwugo.com/product/detail/930821776.html?q=E5 8F 91 E5 85 89 E7 8E A,浩东(绿巢)日化用品厂,义乌国际商贸城二区39门2楼6街,268,843702,10,24,C26
96,RST062A卡通雨伞长柄小孩子伞小动物环保童伞雨伞批发,14.00,https://www.yiwugo.com/product/detail/932438165.html?q=E5 8F 91 E5 85 89 E7 8E A,星宝伞业( 中国梦授权）,义乌国际商贸城二区24门1楼9街,463,678897,8,72,F21
97,RST3466A彩色接边拱形雨伞 阿波罗全透明伞批发,12.50,https://www.yiwugo.com/product/detail/928953046.html?q=E5 8F 91 E5 85 89 E7 8E A,星宝伞业( 中国梦授权）,义乌国际商贸城二区24门1楼9街,80,816530,5,72,F19
98,3836A雨伞批发遇水变色新款自行车雨伞变色自动伞批发,24.00,https://www.yiwugo.com/product/detail/929806012.html?q=E5 8F 91 E5 85 89 E7 
101,Kafuter AB胶 环氧AB胶 快干AB胶 金属ab胶批发 85g,0.01,https://www.yiwugo.com/product/detail/929201114.html?q=E5 8F 91 E5 85 89 E7 8E A,台州阿凡达胶业源头厂家,义乌国际商贸城二区44门2楼7街,382,178544,5,24,A30
102,SUPER透明密封胶 耐高温密封胶 汽车密封胶 机械发动机缸盖胶 85g,0.01,https://www.yiwugo.com/product/detail/929646745.html?q=E5 8F 91 E5 85 89 E7 8E A,台州阿凡达胶业源头厂家,义乌国际商贸城二区44门2楼7街,328,27123,5,24,B30
103,HARDEX Black Clear Grey RTV Silicone 85g 汽车密封胶,0.01,https://www.yiwugo.com/product/detail/929467756.html?q=E5 8F 91 E5 85 89 E7 8E A,台州阿凡达胶业源头厂家,义乌国际商贸城二区44门2楼7街,411,611535,8,72,O23
104,TESON T503 T515 35G 85 灰色 透明 黑色 密封胶 汽车免垫密封胶,0.01,https://www.yiwugo.com/product/detail/931139693.html?q=E5 8F 91 
110,莲花 4U8U节能灯 三基色 85/105/125W lotus energy saving lamp,9.12,https://www.yiwugo.com/product/detail/929561257.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市旮旯灯具有限公司,义乌国际商贸城二区37门4楼,208,915138,8,48,F29
112,A479干燥剂抽屉型除湿剂 家用衣柜防潮防霉除湿包吸湿袋批发,1.03,https://www.yiwugo.com/product/detail/932249966.html?q=E5 8F 91 E5 85 89 E7 8E A,爱妃公司,浙江省金华市义乌市义亭镇湖南,597,316371,8,72,B17
113,批量批量定制一米线插牌，不锈钢A4插牌，A3插牌定制 立柱插牌,50.00,https://www.yiwugo.com/product/detail/931168805.html?q=E5 8F 91 E5 85 89 E7 8E A,广东互发不锈钢制品厂,义乌国际商贸城二区29门4楼,443,196826,8,48,E30
114,工厂供应批发定做超市壁挂式收银隔离带/挂壁式3米织带 LG-12A,50.00,https://www.yiwugo.com/product/detail/931168807.html?q=E5 8F 91 E5 
115,工厂供应批发定做5米挂墙伸缩带/警戒线/ 伸缩器挂墙式 LG-11A,60.00,https://www.yiwugo.com/product/detail/931168808.html?q=E5 8F 91 E5 85 89 E7 8E A,广东互发不锈钢制品厂,义乌国际商贸城二区29门4楼,201,558916,10,48,B16
116,工厂供应批发定做2米伸缩器壁挂式超市收银隔离带 LG-11A,40.00,https://www.yiwugo.com/product/detail/931168791.html?q=E5 8F 91 E5 85 89 E7 8E A,广东互发不锈钢制品厂,义乌国际商贸城二区29门4楼,592,884372,5,24,A18
117,批量供应5米不锈钢挂墙壁挂式收根台通道楼道电梯伸缩器 LG-11A,60.00,https://www.yiwugo.com/product/detail/931168806.html?q=E5 8F 91 E5 85 89 E7 8E A,广东互发不锈钢制品厂,义乌国际商贸城二区29门4楼,398,536468,8,24,P24
118,博文1825-11记事本带扣/80g/A4/128P,12.10,https://www.yiwugo.com/product/detail/929747622.html?q=E5 8F 91 E5 85 89 E7 8E 
119,博文A5-120经典A5大本商务笔记本办公文具LOGO定制记事本本子,10.71,https://www.yiwugo.com/product/detail/929613908.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市热脉文体用品有限公司,义乌国际商贸城三区64门4楼3街,438,952906,8,24,P13
120,Bowen博文5202记事本A5商务笔记本 办公文具 高频记事本25K,6.72,https://www.yiwugo.com/product/detail/929614820.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市热脉文体用品有限公司,义乌国际商贸城三区64门4楼3街,510,445066,8,72,C27
121,Bowen博文5200记事本A4商务笔记本 办公文具 高频记事本,12.10,https://www.yiwugo.com/product/detail/929614793.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市热脉文体用品有限公司,义乌国际商贸城三区64门4楼3街,171,409139,8,24,P19
122,博文530记事本16K厂家定制a5商务办公用品 笔记本本子,17.01,https://www.yiwugo.com/product/detail/929614541.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌市热脉文体用品有限公司,义乌国际商贸城三区64门4楼3街,598,96086,5,24,A20
123,A6498高清大框防水防雾游泳装备眼镜 男女儿童泳镜 送耳塞,1.36,https://www.yiwugo.com/product/detail/933504371.html?q=E5 8F 91 E5 85 89 E7 8E A,爱妃公司,浙江省金华市义乌市义亭镇湖南,187,726045,5,24,F24
124,3043变色偏光太阳镜男款骑行墨镜日夜两用开车驾驶镜钓鱼眼镜A557,1.25,https://www.yiwugo.com/product/detail/933503160.html?q=E5 8F 91 E5 
126,厂家直销，LED灯泡，LED灯，LED灯具，LED A泡，塑包铝 A泡,1.55,https://www.yiwugo.com/product/detail/929691983.html?q=E5 8F 91 E5 85 89 E7 8E A,义乌节惠照明有限公司,义乌国际商贸城二区28门2楼9街,332,322770,8,24,B13
127,（10双包邮）3A袜子男士春秋季透气吸汗中筒运动袜男女式棉袜,0.73,https://www.yiwugo.com/product/detail/933118623.html?q=E5 8F 91 E5 85 89 E7 8E A,丹妮百货有限公司,浙江省金华市义乌市福田街道稠州北路丹妮百货,262,538783,5,72,B18
128,A047雪地袜 女外穿韩版修身显瘦压力弹力地板裤袜,3.35,https://www.yiwugo.com/product/detail/933118095.html?q=E5 8F 91 E5 85 89 E7 8E A,丹妮百货有限公司,浙江省金华市义乌市福田街道稠州北路丹妮百货,161,145803,8,24,P14
129,秋冬爆款兔羊毛袜 加厚保暖中筒袜女士袜子休闲棉袜女袜批发A001,1.88,https://www.yiwugo.com/product/detail/933117537.html?q=E5 8F 91 E5 
130,2020新款皮短裤女秋冬大码女装休闲韩版高腰阔腿a字宽松显瘦皮裤,18.75,https://www.yiwugo.com/product/detail/933116784.html?q=E5 8F 91 E5 85 89 E7 8E A,丹妮百货有限公司,浙江省金华市义乌市福田街道稠州北路丹妮百货,65,598438,5,48,O17
131,a70内战术手套冬季保暖军迷特种兵作战格斗作训保安登山户外手套,31.88,https://www.yiwugo.com/product/detail/933116442.html?q=E5 8F 91 E5 85 89 E7 8E A,丹妮百货有限公司,浙江省金华市义乌市福田街道稠州北路丹妮百货,178,267829,10,48,P15
132,080A加玫瑰花无纺布胸花头花头饰品新娘头饰品最新款,0.80,https://www.yiwugo.com/product/detail/926240110.html?q=E5 8F 91 E5 85 89 E7 
133,黑桃A光触媒灭蚊拍家用吸入式捕蚊器静音灭蚊室内灭蝇电蚊拍厂家,15.60,https://www.yiwugo.com/product/detail/933442457.html?q=E5 8F 91 E5 
134,黑桃a USB二合一充电式电蚊拍 黑科技诱蚊灯灭蚊拍苍蝇拍,10.40,https://www.yiwugo.com/product/detail/933442464.html?q=E5 8F 91 E5 85 89 E7 8E A,天天精品外贸,义乌市观山苑12栋1单元401,123,323801,10,24,C25
135,a100手握led强光T6露营充电伸缩变焦L2大功率手电筒户外野营,7.90,https://www.yiwugo.com/product/detail/933462688.html?q=E5 8F 91 E5 85 89 E7 8E A,天天精品外贸,义乌市观山苑12栋1单元401,276,472294,10,72,F28
136,a100手握led强光T6露营充电伸缩变焦L2大功率手电筒户外野营,7.90,https://www.yiwugo.com/product/detail/933462689.html?q=E5 8F 91 E5 85 
137,亚马逊迷你伸缩变焦A100户外战术T6强光充电10W铝合金led手电筒,9.56,https://www.yiwugo.com/product/detail/933462017.html?q=E5 8F 91 E5 85 89 E7 8E A,天天精品外贸,义乌市观山苑12栋1单元401,229,801344,8,48,F15
140,A85多肉植物花盆陶瓷彩绘白坯 石膏笔筒娃娃 DIY创意画画,6.00,https://www.yiwugo.com/product/detail/932489260.html?q=E5 8F 91 E5 85 89 E7 8E A,双伟玩具,义乌福田街道江北下朱村,454,445414,5,48,F28
